,sim,m_ej,v_ej,Y_e,kappa,negative_sigma_kappa,positive_sigma_kappa,chi_sq_dof,dof,sigma_kappa
210,SA1_m05_v20_Ye05_spec_2020-07-01.dat,0.05,0.2,0.05,39.83351790343887,0.09097304162045106,0.07732708537738375,1.0640981744767808,24793,0.0841500634989174
211,SA1_m05_v20_Ye10_spec_2020-07-01.dat,0.05,0.2,0.1,44.50002708375462,0.09698093584040635,0.08677241627826504,1.1319348130774445,24793,0.0918766760593357
212,SA1_m05_v20_Ye15_spec_2020-07-01.dat,0.05,0.2,0.15,56.06083836812717,0.12854727225359142,0.12211990864091149,0.9051810354055929,24793,0.12533359044725145
213,SA1_m05_v20_Ye20_spec_2020-07-01.dat,0.05,0.2,0.2,10.971224413471438,0.01623283882039317,0.012174629115296653,7.842016075040039,24793,0.014203733967844911
214,SA1_m05_v20_Ye25_spec_2020-07-01.dat,0.05,0.2,0.25,0.33493257926806536,0.00036522957579770976,0.00012174319193258842,177.41038054061312,24793,0.0002434863838651491
215,SA1_m05_v20_Ye30_spec_2020-07-01.dat,0.05,0.2,0.3,1.0152460776840442,0.0011244363285056735,0.00037481210950174315,127.77271344111197,24793,0.0007496242190037083
216,SA1_m05_v20_Ye35_spec_2020-07-01.dat,0.05,0.2,0.35,1.015620889793546,0.0011244363285054515,0.0003748121095019652,108.37688772412176,24793,0.0007496242190037083
217,SA1_m05_v20_Ye40_spec_2020-07-01.dat,0.05,0.2,0.4,2.244836347316284,0.002502616290387838,0.0016684108602582626,56.48249902174258,24793,0.0020855135753230503
218,SA1_m05_v20_Ye45_spec_2020-07-01.dat,0.05,0.2,0.45,0.011113492594064097,0.0011112381108956508,2.469966905744442e-07,65.2733545036021,24793,0.0005557425537931126
219,SA1_m05_v20_Ye50_spec_2020-07-01.dat,0.05,0.2,0.5,0.9932360604319936,0.001098587777018989,0.0003661959256729963,428.1393480917286,24793,0.0007323918513459926
220,SA1_m05_v30_Ye05_spec_2020-07-01.dat,0.05,0.3,0.05,51.14682382678721,0.15825469158887984,0.15239340671521973,1.2002131512519247,22263,0.15532404915204978
221,SA1_m05_v30_Ye10_spec_2020-07-01.dat,0.05,0.3,0.1,55.55825835999481,0.16519664112340848,0.15884292415712054,1.3211194952937122,22263,0.1620197826402645
222,SA1_m05_v30_Ye15_spec_2020-07-01.dat,0.05,0.3,0.15,60.51296166405651,0.18811857009072952,0.1741838611951252,1.2531509044583957,22263,0.18115121564292735
