,Unnamed: 0,sim,m_ej,v_ej,Y_e,kappa,negative_sigma_kappa,positive_sigma_kappa,chi_sq_dof,dof,sigma_kappa
103,103,SA1_m08_v20_Ye35_spec_2020-07-10.dat,0.08,0.2,0.35,0.8633380551952271,0.17266761103904543,0.17266761103904543,112.49391543769222,24793,0.17266761103904543
104,104,SA1_m08_v20_Ye40_spec_2020-07-10.dat,0.08,0.2,0.4,1.806236276679953,0.3612472553359906,0.3612472553359906,61.53694484885341,24793,0.3612472553359906
106,106,SA1_m002_v15_Ye15_spec_2020-09-17.dat,0.002,0.15,0.15,82.48102205903875,16.49620441180775,16.49620441180775,2.602037130029584,25299,16.49620441180775
107,107,SA1_m002_v15_Ye20_spec_2020-09-17.dat,0.002,0.15,0.2,26.33766921740894,5.267533843481789,5.267533843481789,6.524816440761968,25299,5.267533843481789
109,109,SA1_m002_v15_Ye30_spec_2020-09-17.dat,0.002,0.15,0.3,2.789698540785711,0.5579397081571422,0.5579397081571422,100.01356800626476,25299,0.5579397081571422
110,110,SA1_m002_v15_Ye35_spec_2020-09-17.dat,0.002,0.15,0.35,2.265876038764977,0.4531752077529954,0.4531752077529954,90.63569208849638,25299,0.4531752077529954
111,111,SA1_m002_v15_Ye40_spec_2020-09-17.dat,0.002,0.15,0.4,4.543085556924277,0.9086171113848555,0.9086171113848555,42.36671511933911,25299,0.9086171113848555
113,113,SA1_m01_v15_Ye15_spec_2020-09-17.dat,0.01,0.15,0.15,50.45007220484139,10.090014440968279,10.090014440968279,2.210395603560016,25299,10.090014440968279
114,114,SA1_m01_v15_Ye20_spec_2020-09-17.dat,0.01,0.15,0.2,11.485790225386742,2.2971580450773486,2.2971580450773486,6.44289636007156,25299,2.2971580450773486
115,115,SA1_m01_v15_Ye25_spec_2020-09-17.dat,0.01,0.15,0.25,0.4435372522008665,0.08870745044017331,0.08870745044017331,131.3746298248817,25299,0.08870745044017331
116,116,SA1_m01_v15_Ye30_spec_2020-09-17.dat,0.01,0.15,0.3,0.7050103696877136,0.14100207393754272,0.14100207393754272,140.92969926422185,25299,0.14100207393754272
117,117,SA1_m01_v15_Ye35_spec_2020-09-17.dat,0.01,0.15,0.35,0.5218635861983512,0.10437271723967023,0.10437271723967023,113.34103290628131,25299,0.10437271723967023
118,118,SA1_m01_v15_Ye40_spec_2020-09-17.dat,0.01,0.15,0.4,0.3887952943091436,0.07775905886182873,0.07775905886182873,47.69891713123213,25299,0.07775905886182873
120,120,SA1_m03_v15_Ye15_spec_2020-09-17.dat,0.03,0.15,0.15,37.24719405117243,7.449438810234486,7.449438810234486,1.3694887275616925,25299,7.449438810234486
121,121,SA1_m03_v15_Ye20_spec_2020-09-17.dat,0.03,0.15,0.2,6.861793616113266,1.3723587232226533,1.3723587232226533,7.675605891089927,25299,1.3723587232226533
122,122,SA1_m03_v15_Ye25_spec_2020-09-17.dat,0.03,0.15,0.25,0.3562869402894195,0.0712573880578839,0.0712573880578839,167.89602041131397,25299,0.0712573880578839
123,123,SA1_m03_v15_Ye30_spec_2020-09-17.dat,0.03,0.15,0.3,0.536897826768444,0.10737956535368881,0.10737956535368881,173.3938265097775,25299,0.10737956535368881
124,124,SA1_m03_v15_Ye35_spec_2020-09-17.dat,0.03,0.15,0.35,0.4200822460743904,0.08401644921487808,0.08401644921487808,143.06119101756343,25299,0.08401644921487808
